ID,year,m: physiological,m: correctness,m: time,m: subjective rating,m: combination (aggregation),m: others,# measures,Tc1,Tc2,Tc3,Tc4,#task categories
S73,1979,0,1,0,0,0,0,1,1,0,0,0,1
S30,1982,0,1,0,0,0,0,1,0,0,0,1,1
S36,1983,0,1,0,1,0,0,2,1,1,0,0,2
S74,1984,0,1,1,0,0,0,2,1,0,0,1,2
S90,1984,0,1,1,0,0,0,2,1,0,0,0,1
S67,1985,0,1,0,0,0,0,1,1,0,0,0,1
S71,1986,0,1,0,1,0,0,2,1,0,0,0,1
S72,1986,0,1,0,0,0,0,1,1,0,0,0,1
S44,1987,0,1,1,0,0,0,2,1,0,0,0,1
S32,1988,0,1,0,0,0,0,1,1,0,0,0,1
S48,1988,0,1,1,0,0,0,2,1,0,0,0,1
S83,1988,0,1,1,0,0,0,2,1,0,0,0,1
S81,1989,0,1,1,1,0,1,4,1,0,0,0,1
S61,1991,0,1,0,0,0,0,1,1,0,0,0,1
S76,1994,0,1,0,0,0,0,1,1,0,0,0,1
S31,1996,0,1,0,1,0,0,2,1,1,0,0,2
S79,1996,0,1,1,0,0,0,2,1,0,0,0,1
S45,1997,0,1,0,0,0,0,1,1,0,0,0,1
S91,1999,0,1,0,0,0,0,1,1,0,0,0,1
S62,2001,0,1,0,0,0,0,1,1,0,0,0,1
S43,2002,0,1,1,0,0,0,2,1,0,0,0,1
S85,2002,1,1,1,1,0,0,4,1,1,0,0,2
S7,2003,0,1,1,0,0,0,2,1,0,0,0,1
S82,2005,0,1,1,0,0,0,2,1,0,0,1,2
S93,2005,0,1,1,0,0,0,2,1,0,0,0,1
S47,2006,1,0,0,0,0,1,2,1,0,0,0,1
S77,2006,0,1,0,0,0,0,1,1,0,1,0,2
S95,2006,0,1,0,0,0,0,1,1,0,0,0,1
S24,2007,0,1,0,1,0,0,2,1,1,0,0,2
S6,2009,0,0,0,1,0,0,1,0,1,0,0,1
S66,2009,0,1,0,0,0,0,1,1,0,0,0,1
S80,2011,0,1,1,0,0,0,2,1,0,0,0,1
S11,2012,0,1,1,0,0,0,2,1,0,0,0,1
S40,2012,0,0,0,1,0,0,1,0,1,0,0,1
S41,2012,0,0,0,1,0,0,1,0,1,0,0,1
S55,2012,1,1,1,0,0,0,3,0,0,1,0,1
S29,2013,1,1,1,0,0,0,3,1,0,0,0,1
S35,2013,0,1,0,0,0,0,1,1,0,0,0,1
S39,2013,0,1,1,0,0,0,2,1,0,0,0,1
S52,2013,0,1,1,0,0,0,2,1,0,0,0,1
S8,2014,0,1,1,0,0,0,2,1,0,0,0,1
S12,2014,0,0,0,1,0,0,1,1,1,0,0,2
S13,2014,1,0,0,0,0,0,1,1,0,0,0,1
S16,2014,0,0,0,0,0,0,0,1,0,0,0,1
S65,2014,0,1,0,0,0,0,1,0,0,0,1,1
S87,2014,1,1,1,0,0,0,3,1,0,1,0,2
S37,2015,1,0,0,0,0,0,1,1,0,0,0,1
S60,2015,0,1,1,0,0,0,2,1,0,0,0,1
S63,2015,0,1,1,0,0,0,2,1,0,0,0,1
S69,2015,0,1,1,1,0,0,3,1,1,0,0,2
S92,2015,0,1,0,0,0,0,1,1,0,0,0,1
S4,2016,0,1,1,1,0,0,3,1,1,0,1,3
S15,2016,0,1,1,0,0,0,2,1,0,0,0,1
S42,2016,0,0,0,1,0,0,1,1,1,0,0,2
S70,2016,1,0,0,1,0,0,2,1,1,0,0,2
S89,2016,0,1,1,0,0,0,2,1,0,0,0,1
S2,2017,0,1,0,0,0,0,1,1,0,0,0,1
S23,2017,0,1,0,1,0,0,2,1,1,0,0,2
S26,2017,0,1,1,0,1,0,3,0,0,1,1,2
S46,2017,0,0,1,1,0,0,2,1,1,0,0,2
S49,2017,1,1,1,0,0,0,3,1,1,0,0,2
S54,2017,,,,,,0,0,1,0,0,0,1
S57,2017,1,1,1,0,0,0,3,1,0,0,0,1
S64,2017,1,0,1,0,0,0,2,0,0,1,0,1
S84,2017,1,0,0,0,0,0,1,1,0,0,0,1
S1,2018,1,0,0,0,0,0,1,1,0,0,0,1
S14,2018,0,0,0,1,0,0,1,1,1,0,0,2
S17,2018,0,0,0,0,0,0,0,1,0,0,0,1
S28,2018,0,1,1,0,0,1,3,0,0,1,0,1
S34,2018,0,1,0,1,0,0,2,1,1,0,0,2
S53,2018,0,0,0,1,0,0,1,0,1,0,0,1
S56,2018,0,1,1,0,0,0,2,1,0,0,0,1
S59,2018,1,1,1,0,0,1,4,1,0,0,0,1
S75,2018,1,1,0,1,0,0,3,1,1,0,0,2
S88,2018,0,1,0,0,0,0,1,1,0,0,0,1
S3,2019,0,0,1,0,0,0,1,0,0,1,0,1
S5,2019,0,1,1,1,1,0,4,1,1,0,0,2
S9,2019,0,1,1,0,1,0,3,1,0,0,0,1
S10,2019,0,1,0,0,0,0,1,0,0,1,0,1
S18,2019,0,0,0,1,0,0,1,0,0,0,0,0
S19,2019,0,0,0,1,0,0,1,0,0,0,0,0
S20,2019,0,1,1,0,0,0,2,1,0,0,1,2
S21,2019,0,0,0,1,0,1,2,0,1,0,0,1
S22,2019,0,0,0,1,0,0,1,0,1,0,0,1
S25,2019,0,1,1,0,0,0,2,1,0,0,0,1
S27,2019,0,1,1,0,1,0,3,0,0,1,1,2
S33,2019,0,1,1,1,0,0,3,1,1,1,0,3
S38,2019,1,1,0,1,0,0,3,1,1,1,0,3
S50,2019,0,1,1,0,0,0,2,1,0,0,0,1
S51,2019,0,1,0,1,0,0,2,1,1,0,0,2
S58,2019,1,0,0,0,0,0,1,1,0,0,0,1
S68,2019,1,1,0,0,0,0,2,1,0,0,0,1
S78,2019,0,0,0,1,0,0,1,0,1,0,0,1
S86,2019,0,1,0,0,0,0,1,1,0,0,0,1
S94,2019,1,1,0,1,0,0,3,1,1,0,0,2
Commenting source code: is it worth it for small programming tasks?,2019,0,1,1,1,0,0,3,0,0,1,1,2
What Drives the Reading Order of Programmers?: An Eye Tracking Study,2020,1,1,1,0,0,0,3,1,0,0,0,1
Program Comprehension and Code Complexity Metrics: An fMRI Study,2021,1,1,1,1,0,0,4,1,1,0,0,2
Estimating developers' cognitive load at a fine-grained level using eyetracking measures,2022,1,0,0,0,0,0,1,1,0,0,0,1
On the Investigation of Empirical Contradictions ‑ Aggregated Results of Local Studies on Readability and Comprehensibility of Source Code,2023,0,1,0,1,1,0,3,0,1,0,0,1
A Tale of Two Comprehensions? Analyzing Student Programmer Attention during Code Summarization,2024,1,1,1,0,0,0,3,1,0,0,0,1
An eye tracking study assessing source code readability rules for program comprehension,2024,1,1,1,0,0,0,3,1,1,0,0,2
The Effect of Comments on Program Comprehension: An Eye-tracking Study,2024,1,1,1,1,0,0,4,1,1,0,0,2
Predicting code comprehension: a novel approach to align human gaze with code using deep neural networks,2024,1,1,1,1,1,0,5,1,0,0,0,1
NRevisit: A Cognitive Behavioral Metric for CodeUnderstandability Assessment,2025,1,0,0,0,0,1,2,1,0,0,0,1
GazeCopilot: Evaluating Novel Gaze-Informed Prompting for AI-Supported Code Comprehension and Readability,2025,1,1,1,1,0,0,4,0,0,0,1,1
Do Developers Read Type Information? An Eye-Tracking Study on TypeScript,2026,1,1,0,0,0,0,2,0,0,1,0,1
On the Influence of the Baseline in Neuroimaging Experiments on Program Comprehension,2026,1,0,0,1,0,0,2,1,0,0,0,1
